Date,Time,Latitude,Longitude,Altitude,Residual Error,Clock Error,Cumulative Clock Error,No Sats Used,No Sats Provided
10/01/2008,14:40:20,-54.39185,-36.253594,20,0.454195,0.5,0,4,4
10/01/2008,15:01:00,-54.391787,-36.254139,20,14.893775,0.29,0.29,6,6
10/01/2008,15:16:00,-54.393786,-36.261825,20,27.65601,-0.5,0.29,5,5
10/01/2008,17:13:13,-54.374295,-36.250724,20,9.377166,-0.54,-0.25,6,6
10/01/2008,17:31:13,-54.372905,-36.244461,20,20.784406,0.21,-0.25,5,5
10/01/2008,17:49:37,-54.376523,-36.228882,20,13.908234,0.75,0.5,7,7
10/01/2008,18:07:00,-54.386492,-36.222501,20,16.036513,-0.3,0.2,8,8
10/01/2008,18:25:00,-54.386495,-36.223835,20,2.689705,-0.01,0.2,5,5
10/01/2008,19:13:00,-54.388777,-36.219949,20,0.673533,0.51,0.2,4,4
10/01/2008,19:28:00,-54.386292,-36.224469,20,0.560556,-0.03,0.2,5,5
10/01/2008,19:49:00,-54.383156,-36.222595,20,1.047359,-0.19,0.2,4,4
10/01/2008,20:04:00,-54.386781,-36.223304,20,0.90886,0.06,0.2,4,4
10/01/2008,21:10:11,-54.381833,-36.221495,20,7.940387,-0.67,0.2,5,5
10/01/2008,21:34:00,-54.375948,-36.211936,20,3.209785,0.13,0.2,5,5
10/01/2008,21:49:01,-54.368119,-36.20336,20,0.54099,0.85,0.2,4,4
10/01/2008,22:04:00,-54.364419,-36.195103,20,0.322953,0.19,0.2,4,4
10/01/2008,22:19:08,-54.364299,-36.182791,20,5.303004,-0.37,0.2,5,6
10/01/2008,22:34:07,-54.360025,-36.171999,20,0.211164,0.66,0.2,4,4
10/01/2008,22:52:42,-54.352735,-36.155826,20,6.92607,-0.27,0.2,5,5
10/01/2008,23:07:06,-54.34484,-36.14745,20,8.175728,-0.41,0.2,5,5
10/01/2008,23:22:01,-54.339894,-36.137914,20,17.789494,-0.38,-0.18,6,6
10/01/2008,23:37:18,-54.337516,-36.117947,20,11.252623,0.51,0.33,8,8
10/01/2008,23:58:03,-54.336998,-36.109456,20,13.704595,0.59,0.92,6,6
11/01/2008,00:20:15,-54.335224,-36.112334,20,15.476141,-0.9,0.02,7,7
11/01/2008,00:41:54,-54.336193,-36.11084,20,19.197783,0.31,0.33,8,8
11/01/2008,01:02:08,-54.335102,-36.114468,20,13.556889,0.52,0.85,8,8
11/01/2008,01:20:09,-54.335696,-36.114915,20,22.645432,-0.66,0.19,8,8
11/01/2008,02:04:10,-54.332745,-36.105804,20,18.07561,0.27,0.46,8,8
11/01/2008,02:19:02,-54.333889,-36.101606,20,12.063635,-0.26,0.46,5,5
11/01/2008,02:34:12,-54.335246,-36.093589,20,18.871314,-0.86,-0.4,8,8
11/01/2008,02:52:01,-54.33767,-36.09104,20,19.117347,0.86,0.46,8,8
11/01/2008,03:07:02,-54.33848,-36.090118,20,12.012153,-0.43,0.03,8,8
11/01/2008,03:28:01,-54.340851,-36.092634,20,24.23355,0.59,0.62,8,8
11/01/2008,03:46:06,-54.33948,-36.082203,20,13.482388,-0.45,0.17,8,8
11/01/2008,04:01:26,-54.336326,-36.064304,20,12.777603,-0.23,-0.06,6,6
11/01/2008,04:19:07,-54.331165,-36.049325,20,13.526102,-0.28,-0.34,6,6
11/01/2008,04:34:02,-54.325973,-36.038585,20,20.196769,-0.38,-0.72,8,8
11/01/2008,04:52:05,-54.318825,-36.020296,20,16.656366,0.73,0.01,8,8
11/01/2008,05:10:01,-54.308487,-36.009043,20,14.829394,0.26,0.27,8,8
11/01/2008,05:26:10,-54.305131,-36.007607,20,9.493077,0.09,0.36,6,6
11/01/2008,05:47:00,-54.304854,-36.00872,20,14.260043,-0.03,0.36,5,5
11/01/2008,06:02:10,-54.301989,-36.003215,20,10.864924,-0.5,0.36,5,5
11/01/2008,06:38:00,-54.284595,-35.990338,20,14.31147,0.49,0.85,7,7
11/01/2008,06:56:01,-54.282331,-35.986125,20,10.025272,-1.51,-0.66,7,7
11/01/2008,07:46:02,-54.276318,-35.974573,20,18.412932,0.95,-0.66,5,5
11/01/2008,08:04:13,-54.274614,-35.974949,20,17.259996,-0.03,-0.69,7,7
11/01/2008,08:20:38,-54.270859,-35.974166,20,1.66771,0.53,-0.69,5,5
11/01/2008,09:03:08,-54.252026,-35.955033,20,0.331294,1.19,-0.69,4,4
11/01/2008,09:24:01,-54.23961,-35.934208,20,0.404005,1.47,-0.69,4,4
11/01/2008,10:04:02,-54.221692,-35.897293,20,2.228584,1.44,-0.69,5,5
11/01/2008,10:19:04,-54.220742,-35.895615,20,4.495287,1.31,-0.69,5,5
11/01/2008,10:34:06,-54.220838,-35.893313,20,22.002702,0.58,-0.11,7,8
11/01/2008,10:55:03,-54.21977,-35.885515,20,5.772433,-0.13,-0.24,6,6
11/01/2008,11:16:01,-54.218296,-35.877368,20,23.886346,0.63,0.39,6,7
11/01/2008,11:55:01,-54.215841,-35.858137,20,19.783856,0.6,0.39,5,5
11/01/2008,12:20:12,-54.215803,-35.855183,20,0.210108,-0.18,0.39,4,4
11/01/2008,12:41:01,-54.213444,-35.842365,20,0.183587,-0.65,0.39,4,4
11/01/2008,12:59:00,-54.213405,-35.83909,20,1.980674,-0.43,0.39,5,5
11/01/2008,13:14:03,-54.212907,-35.834839,20,22.296314,-1.02,0.39,5,5
11/01/2008,13:29:02,-54.21247,-35.826516,20,19.23361,0.48,0.87,7,7
11/01/2008,13:44:01,-54.210636,-35.821016,20,0.260763,-0.76,0.87,4,4
11/01/2008,14:08:04,-54.208226,-35.815794,20,19.999511,-1.09,-0.22,6,6
11/01/2008,14:26:00,-54.20571,-35.801975,20,20.029291,1.08,0.86,6,6
11/01/2008,14:41:01,-54.205225,-35.795444,20,4.27779,-1.02,0.86,5,5
11/01/2008,15:15:01,-54.203446,-35.779264,20,11.041166,-0.18,0.68,8,8
11/01/2008,15:30:07,-54.189997,-35.77243,20,0.359995,-1.12,0.68,4,4
11/01/2008,15:45:02,-54.191628,-35.777424,20,0.880662,-1.28,0.68,4,4
11/01/2008,16:00:00,-54.184635,-35.748399,20,18.027295,0.31,0.68,5,5
11/01/2008,16:15:15,-54.181948,-35.739588,20,19.347762,-0.47,0.21,6,6
11/01/2008,16:45:08,-54.166531,-35.706051,20,15.472015,0.29,0.5,7,7
11/01/2008,17:06:03,-54.166428,-35.676104,20,0.445026,0.7,0.5,4,4
11/01/2008,17:21:37,-54.158587,-35.68892,20,3.431139,-0.16,0.34,7,8
11/01/2008,17:40:01,-54.157325,-35.689469,20,12.010353,-0.33,0.01,7,8
11/01/2008,17:55:36,-54.153487,-35.687924,20,20.224903,-0.4,-0.39,6,6
11/01/2008,18:17:10,-54.153802,-35.689249,20,15.751038,0.46,0.07,6,6
11/01/2008,18:56:04,-54.143709,-35.701787,20,6.480008,-5.1,0.07,4,4
11/01/2008,19:14:01,-54.147409,-35.657598,20,16.688594,-1,0.07,5,5
11/01/2008,19:47:09,-54.146262,-35.644907,20,4.618258,0.3,0.37,6,6
11/01/2008,20:02:02,-54.14298,-35.635241,20,0.174445,0.82,0.37,4,4
11/01/2008,20:32:00,-54.147495,-35.629494,20,0.94555,-0.26,0.37,4,4
11/01/2008,20:56:01,-54.153316,-35.616765,20,11.647204,-0.55,-0.18,6,6
11/01/2008,21:11:02,-54.156722,-35.611113,20,4.710606,-0.3,-0.48,6,6
11/01/2008,21:44:05,-54.168716,-35.596564,20,20.742468,-0.2,-0.48,5,5
11/01/2008,22:05:12,-54.172216,-35.565781,20,17.835811,0.85,-0.48,5,5
11/01/2008,22:23:01,-54.177886,-35.543838,20,20.663071,-0.28,-0.76,7,7
11/01/2008,22:44:11,-54.188475,-35.51806,20,9.215451,1.33,0.57,6,6
11/01/2008,22:59:02,-54.190982,-35.494778,20,18.558377,0.2,0.57,4,4
11/01/2008,23:14:06,-54.189101,-35.506067,20,18.023834,-0.67,-0.1,8,8
11/01/2008,23:35:03,-54.187896,-35.502614,20,9.981785,0.15,0.05,6,6
11/01/2008,23:53:02,-54.192904,-35.510889,20,23.246925,-0.14,-0.09,6,6
12/01/2008,00:11:00,-54.197996,-35.511322,20,3.249248,0.15,-0.09,5,5
12/01/2008,00:26:02,-54.204662,-35.515014,20,26.037857,-0.1,-0.19,6,6
12/01/2008,00:47:03,-54.213411,-35.514319,20,19.935959,0,-0.19,7,7
12/01/2008,01:20:08,-54.226364,-35.491308,20,0.853787,-0.39,-0.19,5,5
12/01/2008,01:35:02,-54.227236,-35.456979,20,0.702926,0.4,-0.19,4,4
12/01/2008,01:51:52,-54.237277,-35.44222,20,18.354444,0.04,-0.15,8,8
12/01/2008,02:06:03,-54.245754,-35.428632,20,16.269186,-0.11,-0.26,7,7
12/01/2008,02:32:58,-54.243921,-35.428396,20,13.074925,-0.09,-0.35,7,7
12/01/2008,02:48:27,-54.242615,-35.429735,20,27.031741,1.13,0.78,6,6
12/01/2008,03:03:34,-54.243296,-35.433103,20,0.126148,-0.79,0.78,4,4
12/01/2008,03:27:02,-54.24829,-35.433377,20,17.356448,-0.71,0.78,5,5
12/01/2008,03:45:08,-54.265856,-35.451104,20,22.227256,-1.07,0.78,5,5
12/01/2008,04:00:26,-54.278234,-35.468293,20,19.989306,-0.59,0.19,7,7
12/01/2008,04:19:36,-54.28007,-35.470742,20,0.576422,-0.5,0.19,4,4
12/01/2008,04:34:33,-54.279422,-35.469014,20,11.527292,0.23,0.42,7,7
12/01/2008,04:50:48,-54.2787,-35.464855,20,23.521511,-1.1,-0.68,8,8
12/01/2008,05:05:03,-54.280047,-35.463497,20,2.490214,0.55,-0.68,5,5
12/01/2008,05:23:46,-54.285346,-35.473217,20,12.430917,0.6,-0.08,8,8
12/01/2008,05:38:04,-54.287597,-35.478557,20,7.86265,0.11,-0.08,5,5
12/01/2008,05:53:19,-54.296286,-35.483527,20,11.57593,0.56,0.48,6,6
12/01/2008,06:08:01,-54.303109,-35.487933,20,0.372798,-0.47,0.48,4,4
12/01/2008,06:23:01,-54.302482,-35.491466,20,0.205984,-0.74,0.48,4,4
12/01/2008,06:38:26,-54.303839,-35.49541,20,3.703341,-0.43,0.48,5,5
12/01/2008,07:03:53,-54.30877,-35.501246,20,0.905543,-1.32,0.48,4,4
12/01/2008,07:18:06,-54.308135,-35.500157,20,0.273942,-0.26,0.48,4,4
12/01/2008,07:43:45,-54.304088,-35.499286,20,0.698499,-0.85,0.48,4,4
12/01/2008,08:01:06,-54.306753,-35.497527,20,12.960828,-0.69,-0.21,7,8
12/01/2008,08:16:04,-54.30904,-35.498465,20,7.688608,-0.46,-0.67,6,6
12/01/2008,08:31:00,-54.310472,-35.501111,20,8.570463,0.16,-0.67,5,5
12/01/2008,08:46:02,-54.314752,-35.50725,20,0.521347,0.03,-0.67,4,4
12/01/2008,09:04:00,-54.315113,-35.505668,20,26.723863,0.88,0.21,6,6
12/01/2008,09:25:00,-54.319573,-35.508656,20,3.458075,-0.62,0.21,5,5
12/01/2008,09:40:02,-54.322767,-35.515735,20,12.662782,-0.99,0.21,5,5
12/01/2008,09:58:02,-54.326717,-35.519752,20,15.313966,-0.9,0.21,5,5
12/01/2008,10:17:15,-54.329165,-35.521366,20,16.712644,0.09,0.3,8,8
12/01/2008,10:32:07,-54.329825,-35.518528,20,0.235788,0.1,0.3,5,5
12/01/2008,11:20:05,-54.330139,-35.518892,20,17.471526,-0.54,-0.24,8,8
12/01/2008,11:44:00,-54.332018,-35.520972,20,17.413729,0.51,0.27,6,6
12/01/2008,12:02:00,-54.331166,-35.524648,20,17.736202,0.03,0.3,6,6
12/01/2008,12:20:10,-54.330462,-35.525122,20,29.319311,-0.98,-0.68,6,6
12/01/2008,12:35:09,-54.325948,-35.530838,20,0.675003,0.93,-0.68,4,4
12/01/2008,12:56:01,-54.332071,-35.530347,20,7.193003,0,-0.68,6,6
12/01/2008,13:11:03,-54.331443,-35.530318,20,1.563956,0.2,-0.68,5,5
12/01/2008,13:26:03,-54.331904,-35.533533,20,16.227588,0.47,-0.21,6,6
12/01/2008,13:41:04,-54.332567,-35.537806,20,1.428331,0,-0.21,4,4
12/01/2008,13:59:04,-54.338444,-35.557696,20,0.507795,0.16,-0.21,4,4
12/01/2008,14:14:00,-54.339304,-35.561702,20,8.785522,0.46,-0.21,5,5
12/01/2008,14:29:01,-54.34084,-35.573734,20,3.519125,-0.61,-0.21,5,5
12/01/2008,14:45:10,-54.337755,-35.573291,20,20.993745,0.35,-0.21,5,5
12/01/2008,15:03:02,-54.335569,-35.57221,20,20.094929,0.63,0.42,6,6
12/01/2008,15:19:00,-54.334159,-35.577596,20,1.227845,-1.15,0.42,4,4
12/01/2008,15:42:00,-54.330749,-35.575072,20,18.85433,-0.26,0.16,6,6
12/01/2008,16:00:12,-54.330327,-35.581452,20,19.034323,-0.3,-0.14,7,7
12/01/2008,16:21:01,-54.329369,-35.58869,20,13.243621,-0.34,-0.48,8,8
12/01/2008,16:36:01,-54.329331,-35.592961,20,10.485653,0.42,-0.06,7,7
12/01/2008,16:54:02,-54.327711,-35.597042,20,16.45127,0.03,-0.03,8,8
12/01/2008,17:12:02,-54.325924,-35.603532,20,16.798584,0.76,0.73,7,7
12/01/2008,17:51:14,-54.321884,-35.626645,20,19.788537,-0.84,-0.11,7,8
12/01/2008,18:25:30,-54.321296,-35.652787,20,2.58971,-0.06,-0.17,6,6
12/01/2008,18:40:39,-54.32067,-35.657052,20,1.330031,0.42,-0.17,4,4
12/01/2008,18:55:13,-54.321481,-35.65844,20,1.287168,0.15,-0.17,5,5
12/01/2008,19:13:15,-54.32179,-35.65879,20,15.770921,0.19,0.02,6,6
12/01/2008,19:28:04,-54.320525,-35.664398,20,0.408437,0,0.02,5,5
12/01/2008,19:49:03,-54.322004,-35.689634,20,15.824267,0.61,0.63,7,7
12/01/2008,20:10:02,-54.323974,-35.718286,20,21.849487,-1.15,-0.52,8,8
12/01/2008,20:28:07,-54.324591,-35.735145,20,13.226642,0.65,0.13,6,7
12/01/2008,20:43:01,-54.32634,-35.7547,20,8.760212,0.03,0.13,5,6
12/01/2008,20:58:03,-54.329206,-35.77495,20,7.019378,0.17,0.13,5,5
12/01/2008,21:16:01,-54.331083,-35.804573,20,18.107689,-0.56,-0.43,6,6
12/01/2008,21:42:05,-54.332923,-35.817014,20,2.41203,0.33,-0.43,5,5
12/01/2008,22:27:16,-54.353979,-35.887522,20,11.271151,0.21,-0.22,7,7
12/01/2008,22:42:21,-54.35973,-35.915043,20,0.742816,-0.38,-0.22,4,4
12/01/2008,23:00:02,-54.366172,-35.948834,20,20.77884,0.58,0.36,7,8
12/01/2008,23:15:15,-54.371783,-35.975164,20,14.524903,-0.77,-0.41,6,6
12/01/2008,23:33:03,-54.374868,-36.010987,20,13.131605,0.3,-0.11,8,8
12/01/2008,23:48:16,-54.376006,-36.023504,20,12.81565,-0.78,-0.11,5,5
13/01/2008,00:51:13,-54.380995,-36.103574,20,19.575893,0.31,0.2,8,8
13/01/2008,01:06:07,-54.384745,-36.12762,20,9.659446,-0.15,0.05,6,6
13/01/2008,01:39:01,-54.377361,-36.165447,20,23.361669,-0.96,-0.91,7,7
13/01/2008,01:57:25,-54.37501,-36.186378,20,18.020297,0.8,-0.11,8,8
13/01/2008,02:15:20,-54.376779,-36.216913,20,20.441954,-0.33,-0.44,8,8
13/01/2008,02:30:00,-54.380493,-36.230405,20,15.996277,0.38,-0.06,8,8
13/01/2008,02:45:03,-54.387291,-36.249626,20,14.681271,0.07,0.01,6,6
13/01/2008,03:00:00,-54.391514,-36.256431,20,14.742878,0.18,0.19,8,8
13/01/2008,03:15:00,-54.391549,-36.255932,20,11.825338,-0.26,-0.07,8,8
13/01/2008,03:30:00,-54.391896,-36.254987,20,22.549876,-0.46,-0.07,5,5
13/01/2008,03:45:00,-54.391449,-36.254644,20,17.280473,0.21,0.14,7,8
13/01/2008,04:23:00,-54.392552,-36.255611,20,1.085319,0.02,0.14,4,4
13/01/2008,04:47:00,-54.391731,-36.255584,20,9.085219,-0.37,-0.23,8,8
13/01/2008,05:08:00,-54.391578,-36.255152,20,16.115624,0.35,0.12,8,8
13/01/2008,05:29:00,-54.390881,-36.2557,20,0.552847,-0.8,0.12,4,4
13/01/2008,07:02:00,-54.391656,-36.255473,20,1.36092,-0.41,0.12,4,4
13/01/2008,07:17:00,-54.391369,-36.255301,20,16.520539,-0.88,-0.76,6,6
13/01/2008,07:38:00,-54.391828,-36.253352,20,0.448244,0.56,-0.76,4,4
13/01/2008,07:53:00,-54.39113,-36.25552,20,16.763552,0.01,-0.76,5,5
13/01/2008,08:08:00,-54.391737,-36.255504,20,6.772068,0.72,-0.04,6,6
13/01/2008,08:53:00,-54.391789,-36.255804,20,3.617525,0.03,-0.04,5,5
13/01/2008,09:32:00,-54.394361,-36.253058,20,1.290886,-0.57,-0.04,5,5
13/01/2008,09:53:00,-54.390982,-36.25782,20,1.650613,-0.42,-0.04,4,4
13/01/2008,10:17:00,-54.392547,-36.255406,20,0.728784,-0.81,-0.04,4,4
13/01/2008,10:32:00,-54.392526,-36.25594,20,12.566395,-0.1,-0.14,6,6
13/01/2008,10:50:00,-54.392429,-36.255909,20,1.353982,0.02,-0.14,4,4
13/01/2008,11:05:00,-54.392517,-36.256531,20,0.509135,-0.31,-0.14,4,4
13/01/2008,11:20:00,-54.392141,-36.256247,20,22.387874,-0.76,-0.14,5,5
13/01/2008,11:35:00,-54.393103,-36.256683,20,16.169182,-0.12,-0.14,5,5
13/01/2008,11:50:00,-54.392285,-36.256086,20,3.264297,-0.39,-0.14,5,5
13/01/2008,12:08:00,-54.329649,-36.182468,20,3.893116,4.88,-0.14,4,4
13/01/2008,13:11:00,-54.393954,-36.25345,20,0.175259,-0.25,-0.14,5,5
